Date,operation_day,method
2010-02-08,11,16S_sequencing
2010-02-25,28,16S_sequencing
2010-03-12,43,16S_sequencing
2010-03-25,56,16S_sequencing
2010-04-08,70,16S_sequencing
2010-04-22,84,16S_sequencing
2010-05-06,98,16S_sequencing
2010-05-20,112,16S_sequencing
2010-06-03,126,16S_sequencing
2010-06-17,140,16S_sequencing
2010-07-01,154,16S_sequencing
2010-07-15,168,16S_sequencing
2010-07-29,182,16S_sequencing
2010-08-12,196,16S_sequencing
2010-08-31,215,16S_sequencing
2010-09-09,224,16S_sequencing
2010-09-24,239,16S_sequencing
2010-10-04,249,16S_sequencing
2010-10-18,263,16S_sequencing
2010-11-08,284,16S_sequencing
2010-11-19,295,16S_sequencing
2010-12-03,309,16S_sequencing
2010-12-16,322,16S_sequencing
2010-12-31,337,16S_sequencing
2011-01-10,347,16S_sequencing
2011-01-28,365,16S_sequencing
2011-02-04,372,16S_sequencing
2011-02-18,386,16S_sequencing
2011-03-10,406,16S_sequencing
2011-03-25,421,16S_sequencing
2011-04-12,439,16S_sequencing
2011-04-26,453,16S_sequencing
2011-05-06,463,16S_sequencing
2011-05-23,480,16S_sequencing
2011-06-06,494,16S_sequencing
2011-06-17,505,16S_sequencing
2011-07-01,519,16S_sequencing
2011-07-15,533,16S_sequencing
2011-08-01,550,16S_sequencing
2011-08-15,564,16S_sequencing
2011-08-29,578,16S_sequencing
2011-09-15,595,16S_sequencing
2011-09-30,610,16S_sequencing
2011-10-07,617,16S_sequencing
2011-10-21,631,16S_sequencing
2011-11-04,645,16S_sequencing
2011-11-16,NA,16S_sequencing
2011-12-02,673,16S_sequencing
2011-12-16,687,16S_sequencing
2011-12-28,699,16S_sequencing
2012-01-13,715,16S_sequencing
2012-01-27,729,16S_sequencing
2012-02-03,736,16S_sequencing
2012-02-13,746,16S_sequencing
2012-02-27,760,16S_sequencing
2012-03-09,771,16S_sequencing
2012-03-23,785,16S_sequencing
2012-04-05,798,16S_sequencing
2012-04-16,809,16S_sequencing
2012-04-23,816,16S_sequencing
2012-05-11,834,16S_sequencing
2012-05-21,844,16S_sequencing
2012-05-31,854,16S_sequencing
2012-06-15,869,16S_sequencing
2012-06-28,882,16S_sequencing
2012-07-12,896,16S_sequencing
2012-07-24,NA,16S_sequencing
2012-08-09,924,16S_sequencing
2012-08-27,942,16S_sequencing
2012-09-07,953,16S_sequencing
2012-09-23,969,16S_sequencing
2012-10-05,981,16S_sequencing
2012-10-19,995,16S_sequencing
2012-11-01,1008,16S_sequencing
2012-11-13,1020,16S_sequencing
2012-11-29,1036,16S_sequencing
2012-12-15,1052,16S_sequencing
2013-01-08,NA,16S_sequencing
2013-01-25,1093,16S_sequencing
2013-02-08,1107,16S_sequencing
2013-03-01,1128,16S_sequencing
2013-03-15,1142,16S_sequencing
2013-04-05,1163,16S_sequencing
2010-02-08,11,Metagenomes
2010-07-15,168,Metagenomes
2010-08-31,215,Metagenomes
2010-10-04,249,Metagenomes
2010-12-31,337,Metagenomes
2011-01-10,347,Metagenomes
2011-04-26,453,Metagenomes
2011-08-01,550,Metagenomes
2011-09-30,610,Metagenomes
2012-01-23,725,Metagenomes
2012-02-03,736,Metagenomes
2012-04-16,809,Metagenomes
2012-09-23,969,Metagenomes
2013-04-05,1163,Metagenomes
2013-05-23,NA,Metagenomes
2010-02-01,4,qPCR
2010-03-09,40,qPCR
2010-04-08,70,qPCR
2010-05-04,96,qPCR
2010-06-03,126,qPCR
2010-07-01,154,qPCR
2010-08-05,189,qPCR
2010-09-02,217,qPCR
2010-10-08,253,qPCR
2010-11-01,NA,qPCR
2010-12-06,312,qPCR
2011-01-04,341,qPCR
2011-02-04,372,qPCR
2011-03-08,404,qPCR
2011-04-05,432,qPCR
2011-05-06,463,qPCR
2011-06-03,491,qPCR
2011-07-01,519,qPCR
2011-08-01,550,qPCR
2011-09-06,586,qPCR
2011-10-07,617,qPCR
2011-11-07,648,qPCR
2011-12-02,673,qPCR
2012-01-06,708,qPCR
2012-01-08,NA,qPCR
2012-02-03,736,qPCR
2012-03-05,767,qPCR
2012-04-02,795,qPCR
2012-05-04,827,qPCR
2012-06-04,858,qPCR
2012-07-01,885,qPCR
2012-08-03,918,qPCR
2012-09-03,949,qPCR
2012-10-05,981,qPCR
2012-11-06,1013,qPCR
2012-12-04,1041,qPCR
2013-02-08,1107,qPCR
2013-03-08,1135,qPCR
2013-04-05,1163,qPCR
2013-05-03,1191,qPCR
